Dog_ID,Breed,Dog_Age,Behavior,Size,Health_Condition,Housing_Type,Lifestyle,Family_Composition,Pet_Experience,Match_Category
1262,Aspin,5 years,Aggressive,Small,Special Needs,Apartment,Active,No Kids,Yes,Good Match ✅
1263,Aspin,5 years,Aggressive,Medium,Healthy,House,Sedentary,No Kids,Yes,Bad Match ❌
1264,Aspin,1.5 years,Independent,Large,Chronic Illness,Apartment,Active,No Kids,Yes,Bad Match ❌
1265,Aspin,7 years,Independent,Small,Chronic Illness,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1266,Aspin,8 years,Energetic,Medium,Chronic Illness,Condo,Active,No Kids,Yes,Bad Match ❌
1267,Aspin,2 years,Calm,Medium,Chronic Illness,House,Active,No Kids,No,Good Match ✅
1268,Aspin,8 years,Calm,Medium,Healthy,House,Sedentary,With Kids,No,Good Match ✅
1269,Aspin,7 years,Calm,Large,Healthy,Apartment,Sedentary,With Kids,No,Good Match ✅
1270,Aspin,8 years,Energetic,Medium,Chronic Illness,House,Sedentary,No Kids,Yes,Good Match ✅
1271,Aspin,7 years,Aggressive,Large,Chronic Illness,Apartment,Active,With Kids,No,Good Match ✅
1272,Aspin,5 years,Energetic,Medium,Healthy,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1273,Aspin,8 years,Energetic,Small,Healthy,Apartment,Active,With Kids,Yes,Bad Match ❌
1274,Aspin,3 years,Aggressive,Medium,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1275,Aspin,2 years,Independent,Large,Special Needs,House,Sedentary,With Kids,Yes,Good Match ✅
1276,Aspin,5 years,Calm,Small,Chronic Illness,House,Sedentary,No Kids,Yes,Good Match ✅
1277,Aspin,3 years,Independent,Large,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1278,Aspin,7 years,Independent,Small,Chronic Illness,Apartment,Active,With Kids,Yes,Bad Match ❌
1279,Aspin,5 years,Energetic,Large,Chronic Illness,Condo,Sedentary,No Kids,No,Bad Match ❌
1280,Aspin,3 years,Calm,Large,Chronic Illness,House,Active,No Kids,No,Good Match ✅
1281,Aspin,5 years,Energetic,Large,Healthy,House,Sedentary,With Kids,Yes,Good Match ✅
1282,Aspin,3 years,Energetic,Large,Special Needs,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1283,Aspin,2 years,Independent,Large,Chronic Illness,Apartment,Sedentary,With Kids,No,Good Match ✅
1284,Aspin,1.5 years,Energetic,Large,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1285,Aspin,1.5 years,Aggressive,Small,Healthy,House,Sedentary,No Kids,No,Good Match ✅
1286,Aspin,2 years,Aggressive,Small,Healthy,Condo,Active,No Kids,Yes,Bad Match ❌
1287,Aspin,8 years,Aggressive,Medium,Special Needs,Condo,Active,With Kids,Yes,Bad Match ❌
1288,Aspin,5 years,Calm,Medium,Healthy,Apartment,Sedentary,No Kids,No,Bad Match ❌
1289,Aspin,8 years,Energetic,Large,Healthy,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1290,Aspin,7 years,Energetic,Medium,Healthy,Condo,Sedentary,No Kids,No,Bad Match ❌
1291,Aspin,7 years,Calm,Medium,Chronic Illness,House,Active,With Kids,Yes,Bad Match ❌
1292,Aspin,1.5 years,Independent,Large,Healthy,House,Sedentary,No Kids,No,Good Match ✅
1293,Aspin,3 years,Aggressive,Small,Healthy,House,Active,No Kids,Yes,Bad Match ❌
1294,Aspin,2 years,Aggressive,Large,Special Needs,Apartment,Active,With Kids,No,Bad Match ❌
1295,Aspin,2 years,Calm,Medium,Healthy,Apartment,Active,With Kids,No,Bad Match ❌
1296,Aspin,8 years,Independent,Medium,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
1297,Aspin,7 years,Aggressive,Large,Special Needs,House,Sedentary,No Kids,Yes,Bad Match ❌
1298,Aspin,2 years,Independent,Medium,Chronic Illness,House,Active,No Kids,Yes,Bad Match ❌
1299,Aspin,8 years,Calm,Small,Chronic Illness,Apartment,Active,With Kids,No,Bad Match ❌
1300,Aspin,1.5 years,Calm,Medium,Special Needs,House,Sedentary,No Kids,Yes,Good Match ✅
1301,Aspin,1.5 years,Aggressive,Small,Chronic Illness,House,Active,With Kids,No,Bad Match ❌
1302,Aspin,7 years,Energetic,Medium,Special Needs,Condo,Sedentary,With Kids,Yes,Good Match ✅
1303,Aspin,3 years,Calm,Small,Healthy,Condo,Sedentary,With Kids,No,Bad Match ❌
1304,Aspin,2 years,Aggressive,Medium,Chronic Illness,Condo,Sedentary,With Kids,No,Good Match ✅
1305,Aspin,7 years,Independent,Small,Special Needs,Condo,Active,With Kids,No,Bad Match ❌
1306,Aspin,7 years,Aggressive,Medium,Healthy,House,Sedentary,With Kids,No,Bad Match ❌
1307,Aspin,8 years,Energetic,Small,Chronic Illness,Apartment,Sedentary,With Kids,No,Bad Match ❌
1308,Aspin,7 years,Aggressive,Medium,Healthy,Condo,Sedentary,No Kids,No,Good Match ✅
1309,Aspin,3 years,Aggressive,Large,Healthy,House,Active,With Kids,No,Bad Match ❌
1310,Aspin,5 years,Calm,Medium,Special Needs,House,Active,With Kids,Yes,Bad Match ❌
1311,Aspin,2 years,Energetic,Medium,Healthy,Apartment,Active,No Kids,Yes,Bad Match ❌
1312,Aspin,2 years,Independent,Large,Healthy,Apartment,Active,No Kids,No,Bad Match ❌
1313,Aspin,1.5 years,Independent,Small,Healthy,Condo,Active,With Kids,Yes,Bad Match ❌
1314,Aspin,1.5 years,Independent,Small,Healthy,House,Active,With Kids,Yes,Bad Match ❌
1315,Aspin,3 years,Independent,Medium,Chronic Illness,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1316,Aspin,8 years,Independent,Medium,Healthy,House,Active,No Kids,Yes,Bad Match ❌
1317,Aspin,7 years,Independent,Large,Special Needs,Condo,Sedentary,No Kids,No,Good Match ✅
1318,Aspin,5 years,Energetic,Medium,Healthy,House,Active,With Kids,No,Bad Match ❌
1319,Aspin,2 years,Independent,Large,Healthy,Condo,Active,No Kids,Yes,Good Match ✅
1320,Aspin,5 years,Aggressive,Medium,Chronic Illness,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1321,Aspin,7 years,Independent,Large,Special Needs,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1322,Aspin,2 years,Energetic,Small,Special Needs,House,Sedentary,No Kids,No,Bad Match ❌
1323,Aspin,8 years,Aggressive,Large,Healthy,House,Sedentary,With Kids,No,Good Match ✅
1324,Aspin,7 years,Independent,Large,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1325,Aspin,8 years,Energetic,Large,Special Needs,House,Active,No Kids,Yes,Good Match ✅
1326,Aspin,5 years,Calm,Medium,Chronic Illness,House,Active,No Kids,No,Good Match ✅
1327,Aspin,8 years,Aggressive,Medium,Special Needs,Apartment,Active,With Kids,Yes,Good Match ✅
1328,Aspin,5 years,Independent,Medium,Healthy,House,Sedentary,No Kids,Yes,Bad Match ❌
1329,Aspin,5 years,Energetic,Large,Special Needs,House,Sedentary,With Kids,Yes,Good Match ✅
1330,Aspin,1.5 years,Calm,Small,Special Needs,Apartment,Sedentary,No Kids,Yes,Bad Match ❌
1331,Aspin,2 years,Aggressive,Large,Chronic Illness,Condo,Active,With Kids,No,Good Match ✅
1332,Aspin,8 years,Energetic,Large,Special Needs,House,Active,With Kids,Yes,Bad Match ❌
1333,Aspin,2 years,Aggressive,Large,Healthy,House,Active,With Kids,No,Good Match ✅
1334,Aspin,5 years,Aggressive,Large,Chronic Illness,House,Sedentary,No Kids,Yes,Bad Match ❌
1335,Aspin,2 years,Independent,Large,Chronic Illness,Condo,Active,With Kids,Yes,Bad Match ❌
1336,Aspin,1.5 years,Aggressive,Large,Chronic Illness,Condo,Active,With Kids,Yes,Good Match ✅
1337,Aspin,5 years,Energetic,Large,Chronic Illness,Condo,Sedentary,With Kids,No,Bad Match ❌
1338,Aspin,5 years,Aggressive,Small,Special Needs,House,Sedentary,No Kids,Yes,Bad Match ❌
1339,Aspin,3 years,Independent,Medium,Special Needs,Apartment,Active,No Kids,No,Bad Match ❌
1340,Aspin,8 years,Energetic,Medium,Chronic Illness,Condo,Sedentary,No Kids,Yes,Good Match ✅
1341,Aspin,7 years,Independent,Medium,Chronic Illness,Apartment,Active,No Kids,Yes,Good Match ✅
1342,Aspin,5 years,Energetic,Large,Special Needs,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1343,Aspin,8 years,Independent,Small,Chronic Illness,Condo,Active,No Kids,Yes,Bad Match ❌
1344,Aspin,8 years,Independent,Large,Special Needs,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1345,Aspin,1.5 years,Calm,Large,Healthy,Condo,Sedentary,With Kids,No,Bad Match ❌
1346,Aspin,7 years,Independent,Large,Special Needs,Apartment,Active,With Kids,No,Bad Match ❌
1347,Aspin,5 years,Calm,Small,Special Needs,Condo,Active,With Kids,Yes,Good Match ✅
1348,Aspin,8 years,Independent,Large,Special Needs,Apartment,Active,No Kids,Yes,Bad Match ❌
1349,Aspin,7 years,Calm,Medium,Special Needs,House,Active,With Kids,No,Good Match ✅
1350,Aspin,5 years,Calm,Small,Special Needs,Condo,Sedentary,No Kids,No,Good Match ✅
1351,Aspin,3 years,Independent,Medium,Chronic Illness,Apartment,Active,With Kids,Yes,Good Match ✅
1352,Aspin,2 years,Energetic,Medium,Special Needs,Apartment,Sedentary,With Kids,No,Good Match ✅
1353,Aspin,2 years,Independent,Small,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1354,Aspin,7 years,Calm,Large,Special Needs,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1355,Aspin,2 years,Energetic,Large,Healthy,House,Active,With Kids,No,Good Match ✅
1356,Aspin,8 years,Energetic,Medium,Chronic Illness,Apartment,Active,With Kids,No,Good Match ✅
1357,Aspin,3 years,Energetic,Small,Special Needs,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1358,Aspin,1.5 years,Independent,Medium,Chronic Illness,Apartment,Active,With Kids,No,Good Match ✅
1359,Aspin,5 years,Calm,Medium,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1360,Aspin,5 years,Independent,Medium,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
1361,Aspin,8 years,Aggressive,Medium,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Bad Match ❌
1362,Aspin,8 years,Aggressive,Small,Healthy,Apartment,Active,With Kids,No,Good Match ✅
1363,Aspin,1.5 years,Independent,Medium,Special Needs,House,Sedentary,With Kids,No,Good Match ✅
1364,Aspin,2 years,Independent,Large,Chronic Illness,Apartment,Sedentary,No Kids,No,Bad Match ❌
1365,Aspin,5 years,Aggressive,Small,Chronic Illness,Apartment,Sedentary,With Kids,No,Bad Match ❌
1366,Aspin,3 years,Calm,Medium,Chronic Illness,Condo,Active,With Kids,No,Good Match ✅
1367,Aspin,8 years,Independent,Small,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
1368,Aspin,1.5 years,Aggressive,Small,Healthy,Condo,Sedentary,With Kids,No,Good Match ✅
1369,Aspin,5 years,Aggressive,Small,Healthy,Apartment,Active,With Kids,No,Good Match ✅
1370,Aspin,7 years,Independent,Medium,Special Needs,House,Active,No Kids,Yes,Bad Match ❌
1371,Aspin,1.5 years,Aggressive,Medium,Healthy,Apartment,Sedentary,No Kids,No,Good Match ✅
1372,Aspin,8 years,Energetic,Large,Chronic Illness,House,Active,No Kids,Yes,Bad Match ❌
1373,Aspin,1.5 years,Aggressive,Large,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Bad Match ❌
1374,Aspin,1.5 years,Energetic,Small,Special Needs,House,Active,No Kids,No,Good Match ✅
1375,Aspin,3 years,Aggressive,Small,Chronic Illness,Apartment,Active,With Kids,Yes,Good Match ✅
1376,Aspin,5 years,Independent,Small,Special Needs,Condo,Active,No Kids,Yes,Good Match ✅
1377,Aspin,3 years,Aggressive,Medium,Chronic Illness,Condo,Sedentary,With Kids,Yes,Good Match ✅
1378,Aspin,7 years,Independent,Large,Healthy,House,Sedentary,With Kids,No,Good Match ✅
1379,Aspin,1.5 years,Aggressive,Medium,Healthy,Condo,Active,No Kids,No,Bad Match ❌
1380,Aspin,8 years,Independent,Large,Healthy,Condo,Sedentary,No Kids,Yes,Good Match ✅
1381,Aspin,3 years,Aggressive,Medium,Special Needs,Apartment,Sedentary,No Kids,No,Good Match ✅
1382,Aspin,1.5 years,Aggressive,Small,Special Needs,Apartment,Sedentary,No Kids,No,Good Match ✅
1383,Aspin,5 years,Energetic,Medium,Chronic Illness,House,Sedentary,With Kids,Yes,Good Match ✅
1384,Aspin,3 years,Aggressive,Large,Healthy,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1385,Aspin,7 years,Calm,Large,Healthy,Apartment,Active,With Kids,Yes,Good Match ✅
1386,Aspin,2 years,Independent,Large,Special Needs,Apartment,Active,No Kids,No,Good Match ✅
1387,Aspin,2 years,Aggressive,Small,Healthy,House,Sedentary,No Kids,No,Good Match ✅
1388,Aspin,7 years,Calm,Large,Special Needs,Condo,Sedentary,With Kids,Yes,Good Match ✅
1389,Aspin,3 years,Aggressive,Small,Special Needs,House,Active,No Kids,No,Good Match ✅
1390,Aspin,7 years,Aggressive,Medium,Special Needs,Apartment,Sedentary,No Kids,No,Good Match ✅
1391,Aspin,2 years,Independent,Large,Special Needs,House,Active,With Kids,No,Bad Match ❌
1392,Aspin,2 years,Energetic,Small,Special Needs,Condo,Sedentary,With Kids,No,Good Match ✅
1393,Aspin,1.5 years,Calm,Medium,Healthy,Apartment,Sedentary,No Kids,No,Bad Match ❌
1394,Aspin,2 years,Calm,Small,Healthy,Apartment,Active,With Kids,Yes,Good Match ✅
1395,Aspin,1.5 years,Independent,Large,Special Needs,House,Active,No Kids,No,Good Match ✅
1396,Aspin,3 years,Aggressive,Small,Healthy,Condo,Active,No Kids,No,Bad Match ❌
1397,Aspin,2 years,Calm,Small,Special Needs,House,Sedentary,No Kids,Yes,Good Match ✅
1398,Aspin,7 years,Independent,Large,Special Needs,Apartment,Active,No Kids,No,Bad Match ❌
1399,Aspin,7 years,Energetic,Large,Special Needs,Apartment,Active,With Kids,Yes,Bad Match ❌
1400,Aspin,7 years,Aggressive,Small,Special Needs,House,Active,With Kids,Yes,Bad Match ❌
1401,Aspin,2 years,Independent,Small,Special Needs,Condo,Active,No Kids,No,Bad Match ❌
1402,Aspin,5 years,Independent,Small,Special Needs,Condo,Active,No Kids,Yes,Good Match ✅
1403,Aspin,7 years,Independent,Small,Special Needs,House,Active,No Kids,No,Good Match ✅
1404,Aspin,3 years,Energetic,Small,Healthy,Apartment,Active,No Kids,No,Good Match ✅
1405,Aspin,2 years,Calm,Small,Special Needs,House,Sedentary,No Kids,Yes,Good Match ✅
1406,Aspin,8 years,Energetic,Large,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1407,Aspin,8 years,Independent,Small,Healthy,Apartment,Sedentary,No Kids,Yes,Bad Match ❌
1408,Aspin,1.5 years,Aggressive,Large,Chronic Illness,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1409,Aspin,1.5 years,Energetic,Small,Healthy,House,Active,No Kids,Yes,Good Match ✅
1410,Aspin,8 years,Independent,Small,Chronic Illness,Condo,Active,No Kids,No,Bad Match ❌
1411,Aspin,5 years,Independent,Small,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1412,Aspin,3 years,Calm,Small,Special Needs,House,Sedentary,With Kids,Yes,Bad Match ❌
1413,Aspin,8 years,Energetic,Small,Chronic Illness,Apartment,Sedentary,With Kids,No,Good Match ✅
1414,Aspin,1.5 years,Calm,Large,Healthy,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1415,Aspin,2 years,Independent,Large,Healthy,Apartment,Active,No Kids,Yes,Bad Match ❌
1416,Aspin,1.5 years,Energetic,Large,Chronic Illness,Condo,Sedentary,No Kids,No,Bad Match ❌
1417,Aspin,1.5 years,Independent,Small,Healthy,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1418,Aspin,7 years,Energetic,Large,Healthy,Apartment,Active,No Kids,Yes,Good Match ✅
1419,Aspin,7 years,Calm,Medium,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1420,Aspin,8 years,Calm,Large,Healthy,Apartment,Active,No Kids,Yes,Bad Match ❌
1421,Aspin,3 years,Calm,Medium,Chronic Illness,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1422,Aspin,5 years,Energetic,Small,Chronic Illness,Apartment,Active,No Kids,Yes,Bad Match ❌
1423,Aspin,3 years,Energetic,Small,Healthy,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1424,Aspin,7 years,Independent,Small,Chronic Illness,House,Sedentary,With Kids,Yes,Bad Match ❌
1425,Aspin,5 years,Energetic,Small,Healthy,House,Sedentary,With Kids,Yes,Good Match ✅
1426,Aspin,1.5 years,Aggressive,Small,Healthy,House,Active,With Kids,Yes,Bad Match ❌
1427,Aspin,8 years,Calm,Medium,Chronic Illness,House,Sedentary,No Kids,Yes,Good Match ✅
1428,Aspin,7 years,Independent,Small,Special Needs,House,Sedentary,With Kids,Yes,Good Match ✅
1429,Aspin,5 years,Energetic,Small,Chronic Illness,Apartment,Active,With Kids,No,Bad Match ❌
1430,Aspin,8 years,Calm,Small,Chronic Illness,House,Sedentary,With Kids,Yes,Bad Match ❌
1431,Aspin,5 years,Calm,Small,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
1432,Aspin,8 years,Independent,Large,Healthy,House,Active,No Kids,Yes,Good Match ✅
1433,Aspin,8 years,Aggressive,Small,Healthy,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1434,Aspin,1.5 years,Aggressive,Medium,Healthy,Apartment,Active,With Kids,No,Good Match ✅
1435,Aspin,1.5 years,Aggressive,Small,Healthy,Condo,Sedentary,No Kids,No,Bad Match ❌
1436,Aspin,2 years,Aggressive,Large,Healthy,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1437,Aspin,7 years,Energetic,Small,Chronic Illness,Condo,Sedentary,With Kids,No,Good Match ✅
1438,Aspin,7 years,Independent,Medium,Special Needs,Condo,Sedentary,With Kids,Yes,Good Match ✅
1439,Aspin,1.5 years,Independent,Large,Special Needs,House,Active,No Kids,Yes,Bad Match ❌
1440,Aspin,2 years,Energetic,Large,Healthy,Apartment,Sedentary,With Kids,No,Bad Match ❌
1441,Aspin,3 years,Independent,Large,Special Needs,House,Sedentary,With Kids,No,Good Match ✅
1442,Aspin,1.5 years,Energetic,Small,Healthy,House,Active,With Kids,No,Bad Match ❌
1443,Aspin,8 years,Independent,Medium,Special Needs,House,Sedentary,No Kids,Yes,Bad Match ❌
1444,Aspin,1.5 years,Aggressive,Large,Healthy,Condo,Sedentary,No Kids,No,Good Match ✅
1445,Aspin,8 years,Aggressive,Large,Special Needs,Condo,Sedentary,No Kids,Yes,Good Match ✅
1446,Aspin,8 years,Energetic,Medium,Healthy,House,Active,No Kids,Yes,Good Match ✅
1447,Aspin,2 years,Calm,Small,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1448,Aspin,2 years,Aggressive,Small,Healthy,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1449,Aspin,2 years,Calm,Small,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1450,Aspin,1.5 years,Energetic,Large,Chronic Illness,House,Sedentary,No Kids,No,Bad Match ❌
1451,Aspin,5 years,Aggressive,Medium,Healthy,Condo,Active,No Kids,Yes,Good Match ✅
1452,Aspin,3 years,Aggressive,Large,Special Needs,House,Active,No Kids,No,Bad Match ❌
1453,Aspin,8 years,Calm,Large,Healthy,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1454,Aspin,2 years,Aggressive,Large,Special Needs,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1455,Aspin,5 years,Independent,Medium,Chronic Illness,Apartment,Active,With Kids,Yes,Good Match ✅
1456,Aspin,7 years,Energetic,Large,Special Needs,Condo,Active,With Kids,No,Bad Match ❌
1457,Aspin,3 years,Aggressive,Medium,Healthy,Condo,Sedentary,With Kids,No,Good Match ✅
1458,Aspin,1.5 years,Independent,Small,Special Needs,Condo,Sedentary,No Kids,No,Good Match ✅
1459,Aspin,1.5 years,Calm,Medium,Special Needs,House,Active,With Kids,No,Bad Match ❌
1460,Aspin,2 years,Calm,Large,Healthy,Condo,Sedentary,With Kids,No,Good Match ✅
1461,Aspin,1.5 years,Independent,Medium,Healthy,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1462,Aspin,1.5 years,Energetic,Medium,Healthy,Condo,Active,With Kids,Yes,Bad Match ❌
1463,Aspin,3 years,Aggressive,Small,Healthy,Condo,Active,With Kids,Yes,Good Match ✅
1464,Aspin,7 years,Aggressive,Medium,Special Needs,House,Sedentary,No Kids,Yes,Good Match ✅
1465,Aspin,1.5 years,Independent,Large,Special Needs,Apartment,Active,With Kids,Yes,Bad Match ❌
1466,Aspin,5 years,Independent,Large,Healthy,House,Active,With Kids,Yes,Bad Match ❌
1467,Aspin,3 years,Independent,Small,Chronic Illness,House,Active,With Kids,No,Good Match ✅
1468,Aspin,8 years,Energetic,Medium,Healthy,Apartment,Active,With Kids,No,Bad Match ❌
1469,Aspin,2 years,Calm,Medium,Healthy,House,Active,With Kids,Yes,Bad Match ❌
1470,Aspin,2 years,Calm,Large,Special Needs,Condo,Sedentary,With Kids,No,Good Match ✅
1471,Aspin,8 years,Independent,Small,Special Needs,Condo,Active,With Kids,Yes,Good Match ✅
1472,Aspin,5 years,Aggressive,Medium,Healthy,Apartment,Sedentary,No Kids,No,Good Match ✅
1473,Aspin,7 years,Aggressive,Large,Chronic Illness,House,Active,With Kids,No,Good Match ✅
1474,Aspin,3 years,Aggressive,Large,Special Needs,House,Sedentary,No Kids,No,Bad Match ❌
1475,Aspin,8 years,Independent,Medium,Healthy,Apartment,Sedentary,No Kids,No,Good Match ✅
1476,Aspin,3 years,Calm,Medium,Healthy,Condo,Active,No Kids,Yes,Bad Match ❌
1477,Aspin,1.5 years,Calm,Large,Chronic Illness,Condo,Sedentary,No Kids,Yes,Good Match ✅
1478,Aspin,8 years,Energetic,Medium,Special Needs,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1479,Aspin,1.5 years,Independent,Large,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1480,Aspin,1.5 years,Energetic,Medium,Special Needs,Condo,Sedentary,No Kids,No,Bad Match ❌
1481,Aspin,7 years,Aggressive,Small,Special Needs,Apartment,Active,No Kids,No,Bad Match ❌
1482,Aspin,2 years,Calm,Medium,Special Needs,House,Active,No Kids,Yes,Good Match ✅
1483,Aspin,3 years,Energetic,Small,Chronic Illness,Condo,Sedentary,No Kids,Yes,Good Match ✅
1484,Aspin,7 years,Energetic,Large,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1485,Aspin,2 years,Aggressive,Medium,Chronic Illness,Condo,Sedentary,With Kids,No,Bad Match ❌
1486,Aspin,8 years,Aggressive,Small,Chronic Illness,Apartment,Sedentary,No Kids,No,Good Match ✅
1487,Aspin,7 years,Energetic,Small,Chronic Illness,House,Sedentary,With Kids,No,Good Match ✅
1488,Aspin,3 years,Independent,Medium,Healthy,House,Active,With Kids,No,Bad Match ❌
1489,Aspin,5 years,Calm,Large,Special Needs,Apartment,Active,No Kids,No,Good Match ✅
1490,Aspin,5 years,Independent,Large,Chronic Illness,Apartment,Active,With Kids,No,Good Match ✅
1491,Aspin,3 years,Calm,Small,Healthy,Condo,Active,With Kids,Yes,Bad Match ❌
1492,Aspin,1.5 years,Energetic,Small,Healthy,House,Active,With Kids,Yes,Bad Match ❌
1493,Aspin,8 years,Energetic,Large,Chronic Illness,House,Active,No Kids,No,Bad Match ❌
1494,Aspin,3 years,Calm,Small,Healthy,Condo,Active,No Kids,No,Bad Match ❌
1495,Aspin,2 years,Calm,Small,Healthy,Condo,Active,With Kids,No,Bad Match ❌
1496,Aspin,2 years,Calm,Small,Special Needs,Condo,Active,No Kids,Yes,Good Match ✅
1497,Aspin,1.5 years,Aggressive,Large,Chronic Illness,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1498,Aspin,1.5 years,Independent,Small,Healthy,Condo,Active,No Kids,No,Good Match ✅
1499,Aspin,2 years,Calm,Large,Chronic Illness,Apartment,Sedentary,No Kids,No,Bad Match ❌
1500,Aspin,8 years,Aggressive,Small,Special Needs,Condo,Sedentary,No Kids,Yes,Good Match ✅
1501,Aspin,5 years,Aggressive,Medium,Healthy,Apartment,Active,No Kids,Yes,Bad Match ❌
1502,Aspin,7 years,Energetic,Large,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1503,Aspin,8 years,Aggressive,Large,Special Needs,Apartment,Active,With Kids,Yes,Good Match ✅
1504,Aspin,7 years,Energetic,Large,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Bad Match ❌
1505,Aspin,8 years,Calm,Small,Healthy,Apartment,Active,No Kids,No,Bad Match ❌
1506,Aspin,8 years,Independent,Small,Healthy,Condo,Active,With Kids,No,Bad Match ❌
1507,Aspin,1.5 years,Aggressive,Small,Special Needs,Condo,Sedentary,No Kids,Yes,Good Match ✅
1508,Aspin,3 years,Independent,Medium,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
1509,Aspin,8 years,Energetic,Large,Special Needs,Condo,Sedentary,With Kids,No,Bad Match ❌
1510,Aspin,2 years,Independent,Medium,Healthy,House,Active,No Kids,Yes,Good Match ✅
1511,Aspin,2 years,Energetic,Large,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1512,Aspin,8 years,Independent,Small,Special Needs,Apartment,Sedentary,With Kids,No,Good Match ✅
1513,Aspin,2 years,Independent,Medium,Healthy,House,Sedentary,With Kids,No,Good Match ✅
1514,Aspin,2 years,Independent,Large,Chronic Illness,Apartment,Sedentary,With Kids,No,Bad Match ❌
1515,Aspin,3 years,Energetic,Large,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1516,Aspin,3 years,Calm,Medium,Special Needs,House,Active,No Kids,No,Bad Match ❌
1517,Aspin,7 years,Aggressive,Medium,Special Needs,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1518,Aspin,3 years,Calm,Medium,Healthy,House,Active,With Kids,No,Good Match ✅
1519,Aspin,3 years,Independent,Small,Chronic Illness,House,Active,With Kids,No,Bad Match ❌
1520,Aspin,1.5 years,Calm,Medium,Chronic Illness,House,Sedentary,No Kids,Yes,Good Match ✅
1521,Aspin,7 years,Independent,Large,Healthy,House,Active,With Kids,Yes,Bad Match ❌
1522,Aspin,1.5 years,Aggressive,Large,Chronic Illness,Condo,Active,With Kids,Yes,Good Match ✅
1523,Aspin,2 years,Independent,Small,Special Needs,Condo,Sedentary,No Kids,No,Good Match ✅
1524,Aspin,3 years,Energetic,Large,Special Needs,Apartment,Active,No Kids,No,Bad Match ❌
1525,Aspin,8 years,Aggressive,Small,Healthy,Condo,Active,With Kids,Yes,Bad Match ❌
1526,Aspin,2 years,Aggressive,Small,Chronic Illness,Apartment,Active,No Kids,Yes,Bad Match ❌
1527,Aspin,8 years,Independent,Small,Healthy,Apartment,Active,No Kids,No,Bad Match ❌
1528,Aspin,3 years,Energetic,Medium,Special Needs,Apartment,Sedentary,With Kids,No,Good Match ✅
1529,Aspin,5 years,Calm,Large,Special Needs,House,Sedentary,No Kids,No,Bad Match ❌
1530,Aspin,5 years,Aggressive,Large,Healthy,Condo,Active,With Kids,Yes,Good Match ✅
1531,Aspin,5 years,Calm,Medium,Special Needs,House,Sedentary,No Kids,Yes,Good Match ✅
